Date,Oficial,CCL
2019-07-02,42.35599899291992,42.15900028135081
2019-07-03,42.15800094604492,41.412892671794026
2019-07-04,42.03200149536133,41.67485121191831
2019-07-05,41.73899841308594,41.93680975204259
2019-07-10,41.80099868774414,41.84210526315789
2019-07-11,41.840999603271484,41.74795803571555
2019-07-12,41.696998596191406,41.75911345872731
2019-07-15,41.583099365234375,42.31948914746778
2019-07-16,42.40299987792969,42.632016796902846
2019-07-17,42.676998138427734,42.57866737571241
2019-07-18,42.49599838256836,42.55800601219602
2019-07-19,42.36029815673828,42.53581388475418
2019-07-22,42.43949890136719,42.38805970149254
2019-07-23,42.45100021362305,42.79372660125272
2019-07-24,42.61000061035156,43.04655628021819
2019-07-25,42.822601318359375,43.464818543043975
2019-07-26,43.327301025390625,43.599679818232005
2019-07-29,43.2599983215332,43.84655746783203
2019-07-30,43.7422981262207,43.85638313522271
2019-07-31,43.86199951171875,44.10723888092113
2019-08-01,43.81589889526367,44.817847396811146
2019-08-02,44.29399871826172,44.86008111078928
2019-08-05,44.57899856567383,45.73063313673316
2019-08-06,45.400001525878906,45.484143625297364
2019-08-07,45.266998291015625,45.62825765087547
2019-08-08,45.507999420166016,45.479254214148916
2019-08-09,45.164798736572266,45.72963359316317
2019-08-12,45.2130012512207,55.16418001545009
2019-08-13,54.57899856567383,58.32849835755471
2019-08-14,55.56999969482422,61.79131328086399
2019-08-15,60.23899841308594,58.32856641727746
2019-08-16,57.244998931884766,56.73619099462641
2019-08-20,54.832000732421875,55.71333986879482
2019-08-21,54.72600173950195,55.388067754308054
2019-08-22,54.99599838256836,55.78778066619456
2019-08-23,55.10210037231445,55.00340732456952
2019-08-26,54.667999267578125,55.197133371184066
2019-08-27,55.3025016784668,56.60450592222864
2019-08-28,56.274600982666016,59.41915094838197
2019-08-29,57.942501068115234,58.15125980381236
2019-08-30,57.874000549316406,63.791513424813346
2019-09-02,59.48160171508789,62.85187055222446
2019-09-03,58.236000061035156,61.91222767963558
2019-09-04,55.935001373291016,60.9502238113917
2019-09-05,55.92499923706055,63.100437732354
2019-09-06,56.014400482177734,64.91901491699538
2019-09-09,56.00299835205078,64.23728968349894
2019-09-10,56.01300048828125,66.93277653711067
2019-09-11,55.96200180053711,66.34775121700581
2019-09-12,56.16999816894531,68.59083606394799
2019-09-13,56.11050033569336,72.41688916925028
2019-09-16,56.02799987792969,69.78022280992279
2019-09-17,56.262001037597656,69.70074840842217
2019-09-18,56.48099899291992,69.55236267976035
2019-09-19,56.435001373291016,67.94767096035865
2019-09-20,56.487998962402344,68.52941652600637
2019-09-23,56.66999816894531,67.39679930184933
2019-09-24,56.91600036621094,65.32257953526592
2019-09-25,56.86199951171875,63.915859380563816
2019-09-26,56.97999954223633,64.07258015517512
2019-09-27,57.16529846191406,62.93037637374344
2019-09-30,57.07899856567383,62.73077157827524
2019-10-01,57.59000015258789,66.02664458367558
2019-10-02,57.340999603271484,66.52703557713602
2019-10-03,57.82099914550781,65.25553416638351
2019-10-04,57.65399932861328,66.46928314611151
2019-10-07,57.69850158691406,65.68113941241239
2019-10-08,57.82899856567383,66.79779801027973
2019-10-09,57.8380012512207,67.60784074371936
2019-10-10,57.762001037597656,67.55040674315386
2019-10-11,57.90950012207031,69.1424197170187
2019-10-15,58.03900146484375,68.35347550187832
2019-10-16,58.27040100097656,68.87159328619238
2019-10-17,57.74599838256836,73.38129606090587
2019-10-18,58.22779846191406,74.38049668211299
2019-10-21,58.34669876098633,74.72741106541463
2019-10-22,58.40019989013672,78.83683164128041
2019-10-23,58.671199798583984,76.59574480876876
2019-10-24,58.91849899291992,78.46215487087234
2019-10-25,59.55350112915039,79.5365307469705
2019-10-28,59.89970016479492,81.56028561870087
2019-10-29,59.408599853515625,75.50482652128841
2019-10-30,59.400001525878906,78.64035484716699
2019-10-31,59.626800537109375,79.67127606486272
2019-11-01,59.56439971923828,79.72858380334216
2019-11-04,59.63890075683594,80.90111423991661
2019-11-05,59.6427001953125,79.2981077537631
2019-11-06,59.65290069580078,79.22131396467668
2019-11-07,59.64780044555664,79.74583026930429
2019-11-08,59.59749984741211,78.48509486177792
2019-11-11,59.4817008972168,76.10062973243063
2019-11-12,59.59049987792969,77.13338925273018
2019-11-13,59.613399505615234,76.68102933025264
2019-11-14,59.66400146484375,76.42276495606033
2019-11-15,59.60089874267578,76.64076043585717
2019-11-19,59.43389892578125,76.26689348650116
2019-11-20,59.632301330566406,74.7208909356298
2019-11-21,59.660701751708984,73.60126447148217
2019-11-22,59.743499755859375,74.37205785105283
2019-11-25,59.773101806640625,73.73145499949041
2019-11-26,59.64360046386719,70.6201559442374
2019-11-27,59.82460021972656,72.38751954496031
2019-11-28,59.91590118408203,73.52534755816754
2019-11-29,59.77360153198242,74.66317557137478
2019-12-02,59.580101013183594,74.82490168991083
2019-12-03,59.87990188598633,73.97047225700626
2019-12-04,59.83380126953125,76.34127896110614
2019-12-05,59.81399917602539,78.9871531487112
2019-12-06,59.9546012878418,79.45652174664205
2019-12-09,59.890201568603516,76.08540930581131
2019-12-10,59.90890121459961,75.169810169148
2019-12-11,59.738800048828125,76.6666654625324
2019-12-12,59.74020004272461,74.03294999406003
2019-12-13,59.750099182128906,73.62711760957362
2019-12-16,59.740699768066406,75.50103523421205
2019-12-17,59.736000061035156,73.93397543468757
2019-12-18,59.73509979248047,73.63083286461004
2019-12-19,59.76620101928711,73.51351462810729
2019-12-20,59.740299224853516,73.23333231608073
2019-12-23,59.72060012817383,71.8788224305131
2019-12-26,59.74599838256836,73.60704141687484
2019-12-27,59.712100982666016,73.66016832293526
